"Trip_ID","Distance_km","Avg_Speed","Traffic_Density","Num_Traffic_Lights","Num_Stops","Weather_Condition","Road_Type","Accident_Occurrence","Fuel_Consumption","Day_of_Week","Travel_Time"
1,10,44.2,177,8,2,"Storm","Highway",0,1.55,"Tuesday",38.5
2,17,47.5,208,7,2,"Storm","Highway",0,1.58,"Tuesday",54.5
3,11.7,45.9,147,2,3,"Rainy","Highway",1,1.61,"Tuesday",47.4
4,18.4,36.3,169,9,7,"Rainy","Local",1,2.24,"Saturday",67.8
5,19.2,56.2,201,6,6,"Rainy","Arterial",1,2.37,"Wednesday",59
6,6.6,46.9,154,11,3,"Foggy","Arterial",0,2.14,"Wednesday",38.1
7,13.4,35.6,212,10,8,"Rainy","Highway",0,1.55,"Sunday",56.1
8,18.5,38.6,98,6,5,"Storm","Arterial",0,2.04,"Sunday",50.2
9,13.7,30.6,114,4,1,"Storm","Arterial",0,1.76,"Thursday",47.4
10,12.4,55.2,240,2,7,"Foggy","Highway",1,1.03,"Wednesday",52.6
11,19.4,58.4,140,7,6,"Storm","Local",0,1.97,"Thursday",46.7
12,12.3,44.7,230,5,3,"Rainy","Local",0,1.93,"Tuesday",35.9
13,15.5,36.5,248,9,2,"Sunny","Arterial",1,1.5,"Wednesday",61.4
14,14,59.9,128,10,5,"Sunny","Local",0,1.04,"Friday",36
15,7.4,33.2,164,10,8,"Foggy","Arterial",0,2.46,"Tuesday",46.8
16,18.6,46.4,148,9,1,"Sunny","Highway",0,2.49,"Monday",37.1
17,9.4,28.8,143,12,6,"Rainy","Highway",0,1.11,"Tuesday",49.3
18,6.6,42,155,8,7,"Rainy","Local",0,1.81,"Monday",38
19,10.6,28.5,81,5,3,"Rainy","Arterial",1,2.47,"Wednesday",51.2
20,19.4,30.6,197,9,2,"Sunny","Arterial",0,1.16,"Sunday",59.4
21,18.5,34.9,97,6,4,"Foggy","Local",0,1.54,"Saturday",50
22,15.7,45.4,83,2,1,"Storm","Local",0,1.75,"Thursday",34.1
23,15,50.6,185,2,1,"Foggy","Local",0,2.37,"Tuesday",38
24,19.9,30.8,190,6,3,"Rainy","Arterial",0,1.86,"Wednesday",61.3
25,15.2,55.3,166,4,2,"Rainy","Highway",0,1.03,"Saturday",38.4
26,15.9,49.8,197,5,1,"Rainy","Arterial",1,2.28,"Friday",45
27,13.6,51.6,151,4,6,"Storm","Highway",1,2.25,"Thursday",58.3
28,14.3,30.1,199,3,2,"Foggy","Local",0,2.32,"Thursday",48.2
29,10,37.5,90,11,3,"Sunny","Local",0,2.21,"Sunday",31.3
30,8.1,48.6,158,4,2,"Rainy","Arterial",0,1,"Monday",30.1
31,19.5,43.3,135,11,6,"Foggy","Highway",0,1.15,"Tuesday",50.1
32,18.6,37.2,185,6,6,"Sunny","Highway",0,2.25,"Friday",50.9
33,15.7,33.4,94,9,7,"Storm","Highway",0,1.33,"Wednesday",56.5
34,17.1,27,187,2,8,"Foggy","Local",0,1.05,"Friday",64.9
35,6.3,33.3,168,6,6,"Foggy","Arterial",0,1.87,"Thursday",38.9
36,12.7,56.2,115,4,8,"Rainy","Local",0,2.14,"Friday",37.2
37,16.6,53.4,210,7,4,"Foggy","Highway",0,2.31,"Thursday",44.9
38,9,51.2,86,3,4,"Storm","Local",0,1.09,"Monday",27.2
39,10.5,30.4,147,2,2,"Foggy","Highway",0,1.33,"Wednesday",44.3
40,9.2,29.4,199,8,1,"Rainy","Arterial",0,1.62,"Wednesday",39.7
41,8,59.1,132,2,2,"Storm","Local",0,1.62,"Thursday",27.2
42,11.8,40.3,180,9,7,"Sunny","Arterial",0,1.87,"Saturday",43
43,11.8,41.2,103,4,3,"Sunny","Local",0,2.41,"Monday",25.4
44,11.2,30.8,147,3,7,"Storm","Highway",0,2.48,"Thursday",45
45,8.1,45.5,146,11,4,"Foggy","Local",1,1.19,"Monday",55.7
46,7.9,34.5,90,4,5,"Sunny","Local",1,1.41,"Monday",43.5
47,9.3,33.1,153,6,3,"Foggy","Arterial",0,2.24,"Saturday",38.9
48,12.5,49.2,172,9,7,"Foggy","Local",1,2.49,"Friday",63.1
49,9.7,34.9,212,2,3,"Rainy","Local",0,2.01,"Tuesday",36.8
50,18,53.4,167,3,7,"Foggy","Highway",0,1.12,"Sunday",48.4
51,6.6,28.3,239,5,2,"Storm","Local",0,1.2,"Sunday",42.1
52,12.2,53.8,168,8,3,"Sunny","Highway",0,1.51,"Wednesday",31.3
53,17.2,40,90,6,4,"Sunny","Local",1,1.38,"Saturday",53.4
54,7.7,51.5,153,11,1,"Sunny","Arterial",0,1.38,"Wednesday",26.3
55,13.9,48.2,110,5,3,"Foggy","Arterial",0,2.17,"Monday",34.4
56,8.9,40.6,153,9,2,"Sunny","Local",0,1.26,"Sunday",27.9
57,7.8,47,138,2,8,"Rainy","Highway",0,1.9,"Saturday",36.2
58,16.5,25,103,6,1,"Sunny","Highway",1,2.04,"Sunday",58.1
59,18.5,32.6,114,8,7,"Rainy","Local",0,2.38,"Thursday",61.7
60,11.2,49.7,89,7,5,"Storm","Arterial",0,2.03,"Thursday",39.6
61,15.3,32.5,143,11,4,"Sunny","Highway",1,1.41,"Thursday",64.6
62,7.3,53.5,151,2,7,"Storm","Local",1,1.02,"Tuesday",47.7
63,11.4,35.8,121,11,6,"Storm","Arterial",0,1.06,"Tuesday",48.6
64,9.8,49.1,239,8,5,"Rainy","Arterial",0,1.25,"Monday",40.6
65,17.4,57.6,246,3,8,"Rainy","Arterial",0,2.28,"Monday",38.8
66,12.3,29.1,214,11,2,"Rainy","Local",0,1.07,"Saturday",49.3
67,17.3,29.5,245,6,8,"Storm","Arterial",1,1.41,"Friday",84.5
68,17.4,48.7,96,4,7,"Foggy","Local",0,2.33,"Thursday",45.1
69,17.1,40,207,3,8,"Foggy","Arterial",0,1.82,"Wednesday",57.1
70,12.2,54.2,240,7,7,"Rainy","Highway",1,2.21,"Saturday",53.1
71,16.6,59,188,3,6,"Storm","Highway",0,2.44,"Monday",47
72,14.8,27.5,209,4,2,"Rainy","Highway",1,2.03,"Thursday",66.8
73,15.9,41.1,158,4,8,"Rainy","Arterial",0,1.6,"Sunday",47.1
74,6,49.6,190,12,8,"Storm","Local",0,2.46,"Friday",40.9
75,12.7,28,145,5,1,"Foggy","Local",0,2.41,"Monday",49.4
76,9.1,59.8,149,10,3,"Sunny","Local",0,1.78,"Wednesday",27.6
77,11.3,33.9,189,6,6,"Foggy","Arterial",0,1.2,"Saturday",48.8
78,14.6,26.7,138,3,7,"Storm","Arterial",0,1.94,"Thursday",59.1
79,10.9,49,88,10,3,"Sunny","Highway",0,2.23,"Tuesday",25.5
