Quarter,Region,Product Category,Sales,Profit,Quantity
2024-Q1,East,Furniture,4070.0,366.3,16
2024-Q1,East,Office Supplies,4950.0,643.5,99
2024-Q1,East,Technology,6930.0,1108.8,10
2024-Q1,West,Furniture,5280.0,528.0,21
2024-Q1,West,Office Supplies,6050.0,847.0,121
2024-Q1,West,Technology,9240.0,1570.8,13
2024-Q1,Central,Furniture,3410.0,289.85,14
2024-Q1,Central,Office Supplies,4290.0,536.25,86
2024-Q1,Central,Technology,5830.0,903.65,8
2024-Q1,South,Furniture,2640.0,211.2,11
2024-Q1,South,Office Supplies,3740.0,448.8,75
2024-Q1,South,Technology,5060.0,759.0,7
2024-Q2,East,Furniture,4440.0,399.6,18
2024-Q2,East,Office Supplies,5400.0,702.0,108
2024-Q2,East,Technology,7560.0,1209.6,11
2024-Q2,West,Furniture,5760.0,576.0,23
2024-Q2,West,Office Supplies,6600.0,924.0,132
2024-Q2,West,Technology,10080.0,1713.6,14
2024-Q2,Central,Furniture,3720.0,316.2,15
2024-Q2,Central,Office Supplies,4680.0,585.0,94
2024-Q2,Central,Technology,6360.0,985.8,9
2024-Q2,South,Furniture,2880.0,230.4,12
2024-Q2,South,Office Supplies,4080.0,489.6,82
2024-Q2,South,Technology,5520.0,828.0,8
2024-Q3,East,Furniture,4810.0,432.9,19
2024-Q3,East,Office Supplies,5850.0,760.5,117
2024-Q3,East,Technology,8190.0,1310.4,12
2024-Q3,West,Furniture,6240.0,624.0,25
2024-Q3,West,Office Supplies,7150.0,1001.0,143
2024-Q3,West,Technology,10920.0,1856.4,16
2024-Q3,Central,Furniture,4030.0,342.55,16
2024-Q3,Central,Office Supplies,5070.0,633.75,101
2024-Q3,Central,Technology,6890.0,1067.95,10
2024-Q3,South,Furniture,3120.0,249.6,12
2024-Q3,South,Office Supplies,4420.0,530.4,88
2024-Q3,South,Technology,5980.0,897.0,9
2024-Q4,East,Furniture,5180.0,466.2,21
2024-Q4,East,Office Supplies,6300.0,819.0,126
2024-Q4,East,Technology,8820.0,1411.2,13
2024-Q4,West,Furniture,6720.0,672.0,27
2024-Q4,West,Office Supplies,7700.0,1078.0,154
2024-Q4,West,Technology,11760.0,1999.2,17
2024-Q4,Central,Furniture,4340.0,368.9,17
2024-Q4,Central,Office Supplies,5460.0,682.5,109
2024-Q4,Central,Technology,7420.0,1150.1,11
2024-Q4,South,Furniture,3360.0,268.8,13
2024-Q4,South,Office Supplies,4760.0,571.2,95
2024-Q4,South,Technology,6440.0,966.0,9
